ranking_posicion;empresa;nit;departamento;ciudad;contacto;email;telefono;modalidad;vacantes;postulados;competencia_ratio;cat_badge;puntaje_exito;escalabilidad_score;reputacion_rating;apoyo_sostenimiento;salario_egresado_jr;techo_salarial_5anios;fecha_cierre
144;INVERSIONES ELDORADO S.A.S.;891856457;Boyaca;Duitama;GLADYS A CRISTANCHO SAAVEDRA;aux.recursoseldorado@gmail.com;316 0191201;Presencial / No especificado;2;14;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
145;ARBITRIUM S.A.S.;900749675;Huila;Neiva;KATHERINE CANO;info@arbitrium.com.co;3214662545;Presencial / No especificado;1;8;8.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
146;NOVATEC SOLUTIONS S.A.S;900201138;Bogota D.C.;Bogota D. C.;Karen Valverde;reclutamiento3@novatec.com.co;3114704413;Presencial / No especificado;1;9;9.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
147;SMARTINFO SAS;830078450;Bolivar;Cartagena;Yalith Velasco Araque;talentohumanosmartinfo@gmail.com;3174344783;Presencial / No especificado;1;10;10.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);28/08/2026
148;LABORATORIOS AUROFARMA S.A.;800007355;Cundinamarca;Mosquera;Leidy Rodriguez;leidyrodriguez@aurofarma.com;310 2618275;Presencial / No especificado;1;12;12.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);29/08/2026
149;THE HALO TRUST;900336664;Bogota D.C.;Bogota D. C.;MARIA JIMENEZ;maria.jimenez@halocolombia.org;311 4919555;Presencial / No especificado;1;12;12.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);18/09/2026
150;A&CI IT SAS;901155365;Bogota D.C.;Bogota D. C.;Nathali Duarte;gestion.humana@grupo-aci.net;3115790479;Presencial / No especificado;1;16;16.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/08/2026
151;SOPORTE LOGICO SAS;800187672;Bogota D.C.;Bogota D. C.;CATHERINE OSORIO;talento.humano@soportelogico.com.co;3228892741;Presencial / No especificado;1;19;19.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
152;PAYCO, PAGA Y COBRA ONLINE S.A.S;900471052;Antioquia;Medellin;Carolina Zapata;carolina.zapata@epayco.com;3173078147;Presencial / No especificado;1;25;25.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/10/2026
153;SKYDROPX S.A.S;901508804;Bogota D.C.;Bogota D. C.;Laura Lopez;laura.lopez@skydropx.com;3115289596;Presencial / No especificado;2;52;26.0;Tier 2 · Sistemas Corporativos & Alta Escala;83;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/11/2026
154;PROBIENESTAR S.A.S;900521392;Atlantico;Barranquilla;3012986890;contabilidad@probienestar.com.co;3185818;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;82;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);30/09/2026
155;ELITE LOGISTICA Y RENDIMIENTO SAS;900150640;Bogota D.C.;Bogota D. C.;Karen Castiblanco;3154764627;3154764627;Presencial / No especificado;1;7;7.0;Tier 2 · Sistemas Corporativos & Alta Escala;82;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/12/2026
156;LOGISTIC SERVICES LATINOAMERICA SAS;900213368;Bogota D.C.;Bogota D. C.;Karen Castiblanco;3154764627;3154764627;Presencial / No especificado;1;18;18.0;Tier 2 · Sistemas Corporativos & Alta Escala;82;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);31/12/2026
157;ECOPETROL S A;899999068;Bogota D.C.;Bogota D. C.;David Parra;germanda.parra@ecopetrol.com.co;-----;Presencial / No especificado;3;83;27.67;Tier 2 · Sistemas Corporativos & Alta Escala;82;88;4.2;$1.423.500 COP (100% SMMLV);$2.500.000 a $4.000.000 COP;$8M - $15M COP (Empresarial / Banca / Fintech);28/08/2026
158;RETPLAS SAS;901877836;Antioquia;Caldas;claudia patricia gonzalez l;gerencia.admin@retplas.com;3106634316;Presencial / No especificado;1;1;1.0;Tier 3 · Soporte Especializado & Datos;78;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;30/09/2026
159;AGROLOGISTICA ESPECIALIZADA S.A.S - ALEH S.A.S;900445499;Bogota D.C.;Bogota D. C.;Marcela Díaz Quiroga;marcela.diaz@agrologistica.com.co;3115328555;Presencial / No especificado;1;2;2.0;Tier 3 · Soporte Especializado & Datos;78;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;15/09/2026
160;OLEAGINOSAS SAN MARCOS S A;860404924;Guaviare;San Jose Del Guaviare;Ingrid Jaramillo;asistente1admon.osm@gmail.com;3173688994;Presencial / No especificado;5;0;0.0;Tier 3 · Soporte Especializado & Datos;77;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
161;CLUB CAMPESTRE DE CALI;890308040;Valle;Cali;JESICA OCAMPO;practicantebienestar@campestrecali.com;3336000;Presencial / No especificado;1;4;4.0;Tier 3 · Soporte Especializado & Datos;77;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;26/09/2026
162;GRUPO ESPECIALIZADO EN SEGURIDAD PRIVADA OSZFORD LTDA- G.E.S.P. OSZFORD LTDA;900815535;Valle;Cali;MARIA ALEJANDRA ANAMA;seleccion@seguridadoszford.co;3218824277;Presencial / No especificado;1;39;39.0;Tier 3 · Soporte Especializado & Datos;76;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
163;CULTIVOS LA PLANICIE SAS;901089241;Cundinamarca;Zipaquira;Lida Cano;lida.cano@cultivoslaplanicie.com;3208345082;Presencial / No especificado;5;5;1.0;Tier 3 · Soporte Especializado & Datos;75;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;30/11/2026
164;BROWNSTONE CAPITAL SAS;901269699;Antioquia;Rionegro;LAURA CORREA;lcorrea@hro.com.co;3126240076;Presencial / No especificado;2;2;1.0;Tier 3 · Soporte Especializado & Datos;75;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/10/2026
165;EVAL.COM CONSULTING S.A.S;901233425;Bogota D.C.;Bogota D. C.;3145741888;claudia.ramos@evalconsulting.com.co;3145741888;Presencial / No especificado;1;2;2.0;Tier 3 · Soporte Especializado & Datos;75;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;15/09/2026
166;FUNDACION JUAN FELIPE GOMEZ ESCOBAR;806009227;Bolivar;Cartagena;DORAIDIS TAPIA SIERRA;auxiliargestionhumana@juanfe.org;3114167787;Presencial / No especificado;1;3;3.0;Tier 3 · Soporte Especializado & Datos;75;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
167;NEWSAT S.A.S;830513366;Bogota D.C.;Bogota D. C.;ARTURO MOLINA;analistath@newsatint.com;3203032528;Presencial / No especificado;3;12;4.0;Tier 3 · Soporte Especializado & Datos;75;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
168;INTERSATELITE DEL VALLE S.A.S;901300886;Valle;Tulua;Ana Solis;distritocalisurth@gmail.com;3136494242;Presencial / No especificado;2;14;7.0;Tier 3 · Soporte Especializado & Datos;73;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
169;IPS PUNTO VITAL S.A.S.;900656493;Sucre;Sincelejo;ESTEFFANY JIMENEZ HERNANDEZ;talentohumanopuntov@gmail.com;3042307951;Presencial / No especificado;1;8;8.0;Tier 3 · Soporte Especializado & Datos;73;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
170;EVAL.COM CONSULTING S.A.S;901233425;Meta;Villavicencio;3145741888;claudia.ramos@evalconsulting.com.co;3145741888;Presencial / No especificado;1;8;8.0;Tier 3 · Soporte Especializado & Datos;73;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;15/09/2026
171;LITIGAR PUNTO COM SAS -LITIGANDO.COM , LITIGANDO.COM S.A.S , LITIGANDO PUNTO COM S.A.S;830070346;Bogota D.C.;Bogota D. C.;HEIDY LORENA HERNANDEZ VALERO;gestionhumana@litigando.com;0000000;Presencial / No especificado;4;34;8.5;Tier 3 · Soporte Especializado & Datos;72;74;3.9;$1.423.500 COP (100% SMMLV);$2.000.000 a $3.000.000 COP;$5.5M - $9.0M COP;31/08/2026
172;COMERCIALIZADORA DE SERVICIOS DE SUCRE S.A.S.;900684900;Sucre;Sincelejo;ANDREA PAOLA VILORIA MENDOZA;analistagestionhumana@supergirossucre.co;2716060;Presencial / No especificado;1;0;0.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);51;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/08/2026
173;COMERCIALIZADORA BOHORQUEZ DISTRIBUCIONES S.A.S.;900690702;Boyaca;Tunja;YILMA MILENA VARGAS;talentohumano@cbohorquezd.com;3213344239;Presencial / No especificado;50;84;1.68;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);50;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/08/2026
174;PORKILANDIA S.A.S;900606687;Nariño;Pasto;DALY CADENA;rhporkilandias.a.s@gmail.com;3155822270;Presencial / No especificado;1;2;2.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);50;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
175;CREARTE BY CONFECCIONARTE S.A.S;901367620;Antioquia;Medellin;VALENTINA RODRIGUEZ;crearte.sst@gmail.com;3122714126;Presencial / No especificado;1;3;3.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);50;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/11/2026
176;GRUPO FRC SAS;901037562;Cundinamarca;Girardot;MARISELA NIETO;gestionhumana@algrano.com;3112953796;Presencial / No especificado;3;0;0.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);49;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/09/2026
177;SERVICIOS DE DISTRIBUCION ALMACENAMIENTO Y LOGISTICA S.A.;900217784;Santander;Puente Nacional;Lorena Higuera;coordinadoraghcentral@sedialgroup.com.co;3164820228;Presencial / No especificado;1;0;0.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);49;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
178;COMERCIALIZADORA ARTURO CALLE SAS - ARCA GRUPO EMPRESARIAL;900342297;Bogota D.C.;Bogota D. C.;Natalia Toloza;atalento@arturocalle.com;3187118757;Presencial / No especificado;6;46;7.67;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);48;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;15/09/2026
179;DROGUERIAS COPIFAM DE COLOMBIA S.A.S;901164842;Tolima;Ibague;LINA CANO;auxiliargestionhumanacopifam@outlook.com;3177202320;Presencial / No especificado;1;9;9.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);48;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
180;OLEAGINOSAS DEL NORTE DE SANTANDER S.A.S.;900991337;Norte De Santander;Cucuta;DAYANA HERNANDEZ;contratacion@oleonortesas.com;3166931955;Presencial / No especificado;1;21;21.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);48;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;29/08/2026
181;CONTACT POINT 360 SAS;901090585;Bogota D.C.;Bogota D. C.;Andres Sarmiento;andres.sarmiento@contactpoint360.com;310 6198536;Presencial / No especificado;10;17;1.7;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;28/08/2026
182;COATS CADENA ANDINA S.A;890900265;Risaralda;Pereira;Catalina Valencia;catalina.valenciaquintero@coats.com;3106843878;Presencial / No especificado;1;2;2.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;28/08/2026
183;CARNES SANTACRUZ S.A.S.;900326452;Atlantico;Malambo;Karen Castilla;seleccionydesarrollo@grupo-santacruz.com;3164354391;Presencial / No especificado;1;2;2.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/08/2026
184;E ADVISING S.A.S.;830103081;Bogota D.C.;Bogota D. C.;JULIAN VASCO;admin@e-advising.com;3123766419;Presencial / No especificado;2;5;2.5;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
185;BOYDORR SAS;900554592;Cundinamarca;Sopo;LAURA MACIA;laura.macia@boydorr.com;30038319664;Presencial / No especificado;2;7;3.5;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;02/10/2026
186;MG CONSULTORES SAS;860054546;Cundinamarca;Chia;GERALDINE ALBARRACIN;geraldine.albarracin@mg-consultores.com;3228214860;Presencial / No especificado;1;4;4.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);47;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
187;TENARIS TUBOCARIBE LTDA;800011987;Bolivar;Cartagena;Ana Gracia;aigarciapadilla@suppliers.tenaris.com;6535400;Presencial / No especificado;50;38;0.76;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);46;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/09/2026
188;ASSISPREX SAS;900193601;Bogota D.C.;Bogota D. C.;ALISON GUERRERO;alison.guerrero@assisprex.com;3011206924 3219615877;Presencial / No especificado;1;5;5.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
189;PGD PROCESOS DE GESTION DOCUMENTAL S.A.S. P.G.D. S.A.S;900998531;Bogota D.C.;Bogota D. C.;Paula Romero;trabajaconnosotros@pgd.com.co;3022027513;Presencial / No especificado;3;18;6.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
190;ZAJANA S.A.S;901503100;Bogota D.C.;Bogota D. C.;paula gonzalez;pagonzalez@mareigua.co;3503950212;Presencial / No especificado;1;8;8.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
191;TRANSPORTES MASA LTDA;900163464;Huila;Neiva;Marilu Ramos;gestionhumana@transportesmasa.com;3214686992;Presencial / No especificado;1;8;8.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
192;INTERELECTRICOS GROUP S.A.S.;900920936;Norte De Santander;Cucuta;JASMIN CAROLINA ARIAS PALLARES;contabilidad@interelectricos.com;3185176308;Presencial / No especificado;1;8;8.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/08/2026
193;ZIPPOL LIMITADA;900655384;Bogota D.C.;Bogota D. C.;MARCELA VARGAS;servicioalcliente@zippol.com;3163328978;Presencial / No especificado;1;9;9.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);45;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;26/08/2026
194;INVERSIONES DEL ANCA S.A.S.;900721652;Antioquia;Itagui;YURANI GONZALEZ;yuranigonzes@yopmail.com;2116565;Presencial / No especificado;1;11;11.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);44;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;30/09/2026
195;PLASTICOS FORMOSA LIMITADA;900121262;Norte De Santander;Cucuta;yajaira agudelo;rh4plasticosformosa.com;3154783473;Presencial / No especificado;1;16;16.0;Tier 5 · No Prioritaria (Riesgo Operativo / No TI);44;40;3.2;$1.423.500 COP (100% SMMLV);$1.423.500 a $1.800.000 COP (SMMLV);$2.5M - $4.0M COP;31/10/2026
